,altitude,delta,delta_lat,delta_long,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_lat_deg,position_long,position_long_deg,speed,timestamp,unknown_88
49,-147.39999999999998,1.5868242518623041,-1.1650313853763843,-1.0773639484344852,21.87,-147.39999999999998,1.931,106,623893522.0,52.29415090754628,157577646.0,13.208005707710981,1.931,2018-07-22 11:02:44,100
50,-58.0,1.7019991999675887,-1.4259984157006942,-0.9291554203196699,23.57,-58.0,1.829,106,623893369.0,52.29413808323443,157577483.0,13.207992045208812,1.829,2018-07-22 11:02:45,100
51,-126.39999999999998,1.5748516548989815,-1.4446389178667165,-0.6270375841390557,25.14,-126.39999999999998,1.708,105,623893214.0,52.29412509128451,157577373.0,13.207982825115323,1.708,2018-07-22 11:02:46,100
52,-60.60000000000002,1.942268939278022,-1.631043939526938,-1.054563558926923,27.09,-60.60000000000002,1.847,105,623893039.0,52.29411042295396,157577188.0,13.207967318594456,1.847,2018-07-22 11:02:47,100
53,-51.60000000000002,2.0358949528865042,-1.4539591689497275,-1.4250863111460157,29.11,-51.60000000000002,1.959,105,623892883.0,52.294097347185016,157576938.0,13.207946363836527,1.959,2018-07-22 11:02:48,100
54,-20.0,1.7810798072652894,-1.4353186667837055,-1.0545641775778305,30.89,-20.0,1.866,105,623892729.0,52.29408443905413,157576753.0,13.20793085731566,1.866,2018-07-22 11:02:49,100
55,-4.399999999999977,1.7133433025469365,-1.4912401732817717,-0.8436515975051517,32.6,-4.399999999999977,1.791,105,623892569.0,52.29407102800906,157576605.0,13.207918452098966,1.791,2018-07-22 11:02:50,100
56,0.39999999999997726,2.1186819946789313,-2.1063767447605026,-0.22801404278868956,34.64,0.39999999999997726,1.866,105,623892343.0,52.29405208490789,157576565.0,13.207915099337697,1.866,2018-07-22 11:02:51,100
57,3.0,1.8865073587887033,-1.8360894633531817,-0.43322684280565377,36.52,3.0,1.857,105,623892146.0,52.29403557255864,157576489.0,13.207908729091287,1.857,2018-07-22 11:02:52,100
58,4.0,1.7288091096338083,-1.0997896277953068,-1.3338829454441277,38.09,4.0,1.801,101,623892028.0,52.2940256819129,157576255.0,13.207889115437865,1.801,2018-07-22 11:02:53,300
59,-7.199999999999989,2.045231485498074,-1.91065147201727,-0.7296456549249762,40.13,-7.199999999999989,1.959,104,623891823.0,52.2940084990114,157576127.0,13.207878386601806,1.959,2018-07-22 11:02:54,300
60,-1.1999999999999886,2.0360255499147795,-1.8174489611871594,-0.917757764001752,42.17,-1.1999999999999886,2.071,104,623891628.0,52.29399215430021,157575966.0,13.2078648917377,2.071,2018-07-22 11:02:55,300
61,-9.800000000000011,1.4550245514326894,-0.9040643550520742,-1.1400719657969738,43.56,-9.800000000000011,1.969,100,623891531.0,52.29398402385414,157575766.0,13.207848127931356,1.969,2018-07-22 11:02:56,300
62,-2.3999999999999773,1.6493961639383303,-1.248913645123484,-1.0773682808765312,45.2,-2.3999999999999773,1.997,96,623891397.0,52.29397279210389,157575577.0,13.207832286134362,1.997,2018-07-22 11:02:57,300
63,-10.399999999999977,0.9370546233869258,-0.4194112987354983,-0.8379531787061947,46.04,-10.399999999999977,1.847,92,623891352.0,52.29396902024746,157575430.0,13.2078199647367,1.847,2018-07-22 11:02:58,300
64,-2.8000000000000114,1.817921202856436,-1.4725996711157496,-1.0659679678230378,47.86,-2.8000000000000114,2.081,91,623891194.0,52.29395577684045,157575243.0,13.20780429057777,2.081,2018-07-22 11:02:59,300
65,1.1999999999999886,2.0930073474129456,-1.5937629351948936,-1.3566869435221713,49.96,1.1999999999999886,2.174,91,623891023.0,52.293941443786025,157575005.0,13.207784341648221,2.174,2018-07-22 11:03:00,300
66,-8.800000000000011,1.843724568476316,-1.4166781646176834,-1.1799759583562073,51.81,-8.800000000000011,2.155,90,623890871.0,52.293928703293204,157574798.0,13.207766991108656,2.155,2018-07-22 11:03:01,300
67,-1.8000000000000114,1.7786749988403627,-1.4725996711157496,-0.9975645142694034,53.58,-1.8000000000000114,2.137,88,623890713.0,52.29391545988619,157574623.0,13.207752322778106,2.137,2018-07-22 11:03:02,300
68,-10.199999999999989,0.9547702220850222,0.8388225974709966,0.4560294145691622,53.58,-10.199999999999989,2.221,88,623890803.0,52.29392300359905,157574703.0,13.207759028300643,2.221,2018-07-22 11:03:03,300
69,-14.399999999999977,2.43397477252914,-1.7149261992740374,-1.7272120090920462,56.01,-14.399999999999977,2.435,87,623890619.0,52.29390758089721,157574400.0,13.207733631134033,2.435,2018-07-22 11:03:04,300
70,-16.399999999999977,6.76081920143923,-1.267554147289506,6.64093237115381,56.01,-16.399999999999977,2.445,84,623890483.0,52.2938961815089,157575565.0,13.207831280305982,2.445,2018-07-22 11:03:05,300
71,-17.600000000000023,1.8629368087429756,-1.3234756537875725,-1.3110857131404565,57.87,-17.600000000000023,2.221,83,623890341.0,52.293884279206395,157575335.0,13.207812001928687,2.221,2018-07-22 11:03:06,300
