,dt,lat_gps,lng_gps,speed_gps,lat_fit,lng_fit,speed_fit,estimated accuracy,kalman gain
0,1,0,0,0.0,0,0,0.0,4,1
1,20.0,-5.629431654138689,-10.109809260050072,0.578573124209924,-4.494352411645052,-8.071338000128799,0.46191368434043734,3.2261281414698857,0.7983669911581321
2,11.0,-16.534125421261646,-25.405173101187266,1.7076892249917344,-12.739155568602438,-20.29070475424846,1.3400681584018306,3.5190604390052624,0.6033635270689857
3,10.0,-26.236506798676174,-36.34993053139908,1.4626138232594996,-24.30810523146802,-34.759321122260495,1.8525157378727541,2.9038498566080255,0.6787108851716063
4,18.0,-48.1390968437522,-40.0360548938692,1.2339224862831217,-47.5419242417115,-44.16037655715087,1.3924290316940475,2.4403608376016033,0.8013980733125444
5,11.0,-49.69557877461505,-47.521931073449444,0.6950889007717729,-53.52692478899871,-48.280113381676216,0.6605311102112047,2.322297850120786,0.6819084532412136
6,16.0,-54.12269803904531,-67.48616713949095,1.2780754982500202,-56.15576077558849,-64.1735465388989,1.006836002052607,2.4479425249568383,0.7493042620396176
7,10.0,-55.39025218633482,-69.32639995128287,0.22345358171008173,-56.54130270039899,-71.61104793782715,0.7447487471278231,3.2955821474206823,0.522094390558042
8,10.0,-63.43362887097338,-77.09059410220021,1.1179383672820529,-61.96716377574822,-77.5318678406614,0.8030944946317845,1.9362317989768334,0.7746252157999749
9,11.0,-76.584503149102,-79.90206624385293,1.2225493952482132,-73.79905578093543,-81.23625821653408,1.1271120724203205,2.0265400217981293,0.6779417170633824
10,15.000000000000002,-88.51442453535618,-86.1441191362341,0.8976172126332611,-88.8284338280043,-86.17589128327943,1.0546872718505484,1.8926644854648254,0.7787154480236773
11,12.0,-70.61022220489191,-90.48914379163634,1.5353241160398161,-83.13883783903572,-90.33936155549915,0.5875206097173712,2.7613297508237107,0.5857174097682125
12,14.0,-81.72928174692413,-100.4627848344929,1.066911910253067,-80.71362287970238,-99.43979542959751,0.672717472218172,1.8343457796036318,0.8057384384893259
13,13.0,-102.19655312521644,-108.25541956256735,1.6846581548449342,-91.60916071159176,-108.09250595625238,1.0702600029849978,3.1441975572185443,0.5539317431032322
14,11.0,-101.86102408622804,-115.48010819556114,0.6574977961168116,-101.55874253745296,-115.46076394140617,1.1255316622327192,2.5493741057058794,0.7072509834240943
15,28.0,-127.50103481559151,-104.85322808068337,0.9912504543439384,-127.44607603328043,-107.47261168170634,0.9675636165661009,1.853602285616444,0.9107933612382656
16,15.000000000000002,-122.79430801867092,-118.09287920358327,0.936759518522242,-126.79433576265524,-114.87479015014546,0.4953876661945483,1.7726283588621132,0.7840155751599807
17,13.0,-116.52177903980447,-138.4436404123588,1.6381149896552656,-120.76025544193172,-130.9542105887723,1.3211029258109428,3.023629835461646,0.5633909386025954
18,28.0,-138.59213360437468,-159.65770565134417,1.093310547034722,-135.53631404615237,-160.2454199828537,1.1716827117850748,2.15368535720874,0.9008763465882018
19,13.0,-126.03775539555876,-156.3009267856568,0.9996460218560012,-129.4170133349834,-159.9249936717114,0.4713603265897043,1.5879829120556406,0.7934296431057479
20,11.0,-132.3848463830893,-168.62612384769062,1.260316261705894,-129.43512230740797,-165.377086642287,0.4956475495192928,2.0264126202436765,0.6378797362356122
21,14.0,-141.02471913704056,-174.277546415517,0.7374320385310605,-137.72071211563258,-173.71725948372747,0.83973234771094,2.277452891871275,0.7143480732142498
22,27.0,-150.00012092998023,-183.3709569631688,0.4732167490064779,-150.7249854757682,-184.63085396598942,0.6287768409413949,3.7487644930241553,0.8040876430021835
23,19.0,-144.46389178667164,-196.84354244310694,0.7666171917420083,-147.1041654764195,-196.0670363777349,0.6313521645965273,2.5212611422326052,0.8286899149563306
24,10.0,-134.668307898427,-207.72610761847045,1.4641847168566962,-138.65322596985877,-205.59175800722133,1.2733369572220687,2.665094048616525,0.6215710876065897
25,11.0,-148.48092000344943,-220.2387606059224,1.6943141130326176,-140.34273974512627,-218.4642814556392,1.1802658221629583,3.298124165464669,0.57444592001036
26,19.0,-152.04125591715965,-221.48832548199908,0.1985920260035299,-149.23498839810586,-227.62814944001798,0.6720551078461532,4.415822126061387,0.6803892040521567
27,11.0,-156.57089794350304,-218.88695671227563,0.47486210580353866,-155.93094231416492,-222.99580382986395,0.7401944389284899,3.2912818067003724,0.7074843700217923
28,14.0,-155.67615383953398,-234.76213670548506,1.1357410302969255,-157.4069408486057,-231.27922151780163,0.600992292840452,2.0710816524680773,0.8028022748821554
29,13.0,-155.53635007328882,-248.1722594659649,1.0316039603601508,-156.2511809624191,-246.14293456023995,1.146813817017472,1.6589965582991768,0.7794522013088284
30,13.0,-152.8241570081326,-260.90080002008085,1.0010992061109987,-153.34729131270709,-260.92517961657546,1.1588285862572532,1.5427312131202673,0.7696726189077125
31,14.0,-160.74637042869202,-263.8088808564086,0.6027928182994645,-156.97923790802278,-268.4740312318248,0.5983659585133012,2.5070910745832506,0.6421233999925006
32,14.0,-167.09346141622257,-279.9907865328678,1.2415831634096501,-165.4304145724532,-278.9728093946304,0.9626884388163691,2.29209020603553,0.7434471149382861
33,12.0,-181.8474188806291,-288.09026965098997,1.4025791907784064,-178.68113534244756,-288.04936451408634,1.3384419158963687,2.5764040647506,0.6548309496131627
34,10.0,-185.95764960823698,-269.744260329206,1.8800799309315455,-187.82948388230335,-282.6028554961828,1.0646912298351376,3.5554300192751978,0.5029322812936777
35,12.0,-168.41693707001014,-270.91999627877897,1.4650060470386828,-177.550025542795,-272.46680688531575,1.2030249639379782,3.0024913479160844,0.6994761876023914
36,12.0,-142.6464428254845,-242.24236562257786,3.2129564890332585,-159.8619551505087,-256.28680293869064,1.9976728855708574,6.2117753614668025,0.30086804058935684
37,12.0,-135.8146987816374,-238.30624095268828,0.6570441179248775,-137.02766703863045,-238.64968424160608,2.404383539483599,2.919040473820238,0.8092573072309408
38,12.0,-124.36011020061677,-224.0385189087222,1.5247392579560106,-120.82384769142948,-222.9860109641206,1.8780797336577475,3.032382973124676,0.6521731111081984
39,28.0,-122.75702701433887,-195.1566730152959,1.0330821837392128,-119.20456729747832,-194.37727960078442,1.023375753411534,1.9437176775124867,0.9106121591597196
40,12.0,-119.4110568755379,-184.73990054174214,0.9117468921721962,-119.17760342545134,-184.05973507440493,0.8597983133343691,1.754513297320491,0.7407417721371028
41,14.0,-118.3205874988256,-179.87798606810898,0.3559074046232641,-118.66830829194006,-176.5693379847944,0.5362636711214108,3.129067590616818,0.5788051704009233
42,10.0,-118.84252155947422,-177.63446294962378,0.23034346413221077,-118.61047505927094,-174.86738943853123,0.170293086674952,3.561872444113285,0.568683199542733
43,15.000000000000002,-119.01028607896842,-175.36254056216828,0.1518738697241555,-118.83018387018775,-174.23428532221803,0.04467625686534951,4.30256985988404,0.6298464994494145
44,21.0,-112.06669902212516,-147.06574625697206,1.3874412158220555,-113.34629426375204,-151.82182070182265,1.098743474851366,3.1532856016072435,0.8190381453280414
45,13.0,-103.49206802575497,-139.86944205231205,0.8610956655026512,-104.8565673500086,-139.46343557364412,1.1533464201059225,2.046202938900401,0.7887587985497522
46,11.0,-88.75675106351447,-137.83607788966668,1.3522681766023454,-91.96323370734576,-134.66068972286578,1.2507994802934626,2.342019424545689,0.6403756970171254
47,10.0,-86.0911592537733,-134.3600579933284,0.43804216710151056,-83.62300362453222,-132.64454214703156,0.8580459712731615,2.8204580325720086,0.5780308738098644
48,10.0,-91.86039467415715,-127.0672359061761,0.929888871482331,-88.03735679872297,-127.88849031584327,0.6488955460429469,1.7621051468536142,0.7693856166158002
49,10.0,-107.11764569704627,-116.81524262260264,1.8381704900848739,-99.0481951608337,-120.2910726340841,1.3377567673820088,3.039515688273169,0.44978276954163743
50,10.0,-110.8457461302507,-115.09994532713893,0.41037760236012133,-110.5430020038564,-114.1739524415432,1.302112682560128,3.108987034769193,0.615178244783815
51,13.0,-87.0231843620744,-111.23768357571558,1.8564321494876614,-103.09978283570565,-109.14112647853382,0.6911565162358764,4.011712771913425,0.5820250458223662
52,25.0,-117.75205218276191,-100.96298134310523,1.2960449520044233,-113.67755476187062,-100.75193368053847,0.5400263915386371,2.8869089480372194,0.8593359114504372
53,18.0,-91.85107442307414,-84.48586789733427,1.7054342305858199,-101.32862661727998,-87.77757468047861,0.9950960276614436,3.944511942296204,0.6780993502800589
54,19.0,-69.91120337366607,-80.52138518358677,1.1734305423917886,-72.74517819819047,-79.52870589274453,1.5657849268434683,2.3293199965245925,0.8458325293336824
55,28.0,-51.1681784457308,-63.357183060034984,0.9076705565730167,-49.01063256054351,-63.77883171543334,1.0173163934694975,2.135773310528223,0.8949893743505892
56,12.0,-48.20433860133328,-46.965489571072865,1.3881241390495136,-44.924730894711026,-50.489428283445235,1.158611585287507,2.5042850167139123,0.649826093653575
57,10.0,-45.333701267765875,-52.25331264849724,0.601677917153462,-43.967790232962855,-47.65535570476339,0.29912711029499495,2.5100585210568616,0.6418586802892778
58,21.0,-25.60272972503143,-44.205148407734555,1.0147262464590174,-27.721134540717216,-43.88116770610575,0.7942513356605796,1.7926078242054166,0.8704774086266223
59,11.0,-38.306231951175526,-43.909804121078686,1.1551759089588525,-32.43095618333641,-43.29271840439234,0.4314945436577078,1.8477002005867038,0.6923174272558118
60,10.0,-24.26061356907784,-29.829796696983948,1.988783559862871,-31.500240288946678,-37.3461532035318,0.601895919276375,3.3113216659995235,0.4185972130568202
61,10.0,-18.510018650860008,-28.409872631088202,0.5923303661500283,-22.307391458092106,-29.351292959143283,1.2183031640533826,2.715152014626148,0.685113727880859
62,10.0,5.787875922549862,-20.662776025611603,2.550304269131681,-6.24264152978347,-21.10425651038049,1.8057956707399494,4.7290457601822515,0.3635461292613984
63,13.0,15.210649767474058,-8.542378576166671,1.1809451166047205,15.109070503658206,-8.870923066136381,1.8929174344673698,2.291418604889577,0.8215140777540961
64,39.0,-12.134966910080434,-5.418570811780141,0.7057297790154597,-4.159682199609392,-2.514278810300521,0.5202612483725283,3.057613576088479,0.9126466932447911
65,20.0,1.342116155953578,14.698863537144787,1.210725952426978,-1.3034717045888744,12.299185793860698,0.7543153716626134,2.427521538535326,0.8280210787708836
66,10.0,-22.82529490229414,-3.771412138403049,3.041734440724647,-6.079106332499751,13.35961291721662,0.48919517355806336,5.002013156455863,0.2703163057885027
