,altitude,delta,delta_lat,delta_long,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_lat_deg,position_long,position_long_deg,speed,timestamp,unknown_88
0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,96,340114472.0,28.508065715432167,-193117425.0,-16.186915570870042,0.0,2017-02-24 14:25:19,100
1,14.200000000000045,0.7015535247221029,0.47533280523356475,0.5159806898700727,0.42,14.200000000000045,0.0,93,340114523.0,28.508069990202785,-193117362.0,-16.186910290271044,0.0,2017-02-24 14:25:21,100
2,-19.399999999999977,8.829921098639943,-1.0811491256292847,8.763482365838243,9.09,-19.399999999999977,1.67,95,340114407.0,28.508060267195106,-193116292.0,-16.18682060390711,1.67,2017-02-24 14:25:33,100
3,-17.399999999999977,1.7820172123277565,0.21436577490925468,1.7690767817084545,10.88,-17.399999999999977,1.633,95,340114430.0,28.508062195032835,-193116076.0,-16.186802498996258,1.633,2017-02-24 14:25:34,100
4,4.0,1.7069236730893822,0.30756828573936545,1.6789848645417553,12.59,4.0,1.745,95,340114463.0,28.50806496106088,-193115871.0,-16.186785316094756,1.745,2017-02-24 14:25:35,100
5,-120.80000000000001,2.5894527138435266,0.08388225974709966,2.588093723907874,15.18,-120.80000000000001,2.426,95,340114472.0,28.508065715432167,-193115555.0,-16.186758829280734,2.426,2017-02-24 14:25:36,100
6,-47.19999999999999,2.7277048651603617,0.7269795844748638,2.629044411031556,17.91,-47.19999999999999,2.659,95,340114550.0,28.50807225331664,-193115234.0,-16.186731923371553,2.659,2017-02-24 14:25:37,100
7,-16.80000000000001,2.841083306202376,0.47533280523356475,2.801037857125572,20.76,-16.80000000000001,2.771,95,340114601.0,28.50807652808726,-193114892.0,-16.186703257262707,2.771,2017-02-24 14:25:38,100
8,-1.6000000000000227,2.965778643669741,0.07456200866408859,2.964841221737094,23.73,-1.6000000000000227,2.939,95,340114609.0,28.508077198639512,-193114530.0,-16.186672914773226,2.939,2017-02-24 14:25:39,100
9,6.0,3.046105021156577,-0.21436577490925468,3.0385527993541377,26.79,6.0,2.986,95,340114586.0,28.508075270801783,-193114159.0,-16.18664181791246,2.986,2017-02-24 14:25:40,100
10,9.800000000000011,3.5518011388669533,-0.7829010909729303,3.464441832649234,30.34,9.800000000000011,3.35,95,340114502.0,28.50806823000312,-193113736.0,-16.186606362462044,3.35,2017-02-24 14:25:41,100
